Frame No: 329 , Epoch Time = 1496669714885208 , IAT = 0.000131 ,Frame Size = 54   ,Trans Rate = 412213.740458  
Frame No: 330 , Epoch Time = 1496669714885326 , IAT = 0.000118 ,Frame Size = 1514 ,Trans Rate = 12830508.474576  
Frame No: 331 , Epoch Time = 1496669714888322 , IAT = 0.002996 ,Frame Size = 62   ,Trans Rate = 20694.259012  
Frame No: 332 , Epoch Time = 1496669714888459 , IAT = 0.000137 ,Frame Size = 54   ,Trans Rate = 394160.583942  
Frame No: 333 , Epoch Time = 1496669714888565 , IAT = 0.000106 ,Frame Size = 1514 ,Trans Rate = 14283018.867925  
Frame No: 339 , Epoch Time = 1496669714974235 , IAT = 0.000004 ,Frame Size = 66   ,Trans Rate = 16500000.000000  
Frame No: 340 , Epoch Time = 1496669714985602 , IAT = 0.011367 ,Frame Size = 66   ,Trans Rate = 5806.281341  
Frame No: 341 , Epoch Time = 1496669714985711 , IAT = 0.000109 ,Frame Size = 54   ,Trans Rate = 495412.844037  
Frame No: 342 , Epoch Time = 1496669714985832 , IAT = 0.000121 ,Frame Size = 929  ,Trans Rate = 7677685.950413  
Frame No: 343 , Epoch Time = 1496669715012384 , IAT = 0.026552 ,Frame Size = 66   ,Trans Rate = 2485.688460  
Frame No: 344 , Epoch Time = 1496669715012449 , IAT = 0.000065 ,Frame Size = 66   ,Trans Rate = 1015384.615385  
Frame No: 345 , Epoch Time = 1496669715012532 , IAT = 0.000083 ,Frame Size = 54   ,Trans Rate = 650602.409639  
Frame No: 346 , Epoch Time = 1496669715012541 , IAT = 0.000009 ,Frame Size = 54   ,Trans Rate = 6000000.000000  
Frame No: 347 , Epoch Time = 1496669715012653 , IAT = 0.000112 ,Frame Size = 643  ,Trans Rate = 5741071.428571  
Frame No: 348 , Epoch Time = 1496669715012671 , IAT = 0.000018 ,Frame Size = 727  ,Trans Rate = 40388888.888889  
Frame No: 349 , Epoch Time = 1496669715038110 , IAT = 0.025439 ,Frame Size = 60   ,Trans Rate = 2358.583278  
Frame No: 350 , Epoch Time = 1496669715038860 , IAT = 0.000750 ,Frame Size = 60   ,Trans Rate = 80000.000000  
Frame No: 351 , Epoch Time = 1496669715064267 , IAT = 0.025407 ,Frame Size = 62   ,Trans Rate = 2440.272366  
Frame No: 352 , Epoch Time = 1496669715064392 , IAT = 0.000125 ,Frame Size = 54   ,Trans Rate = 432000.000000  
Frame No: 353 , Epoch Time = 1496669715064512 , IAT = 0.000120 ,Frame Size = 1514 ,Trans Rate = 12616666.666667  
Frame No: 354 , Epoch Time = 1496669715114467 , IAT = 0.049955 ,Frame Size = 62   ,Trans Rate = 1241.117005  
Frame No: 355 , Epoch Time = 1496669715114595 , IAT = 0.000128 ,Frame Size = 54   ,Trans Rate = 421875.000000  
Frame No: 356 , Epoch Time = 1496669715114753 , IAT = 0.000158 ,Frame Size = 1514 ,Trans Rate = 9582278.481013  
